url	English translation	Original Title	keyword
12school.com.ua	vinnitsa lyceum №12.	 Вінницький ліцей №12	lyceum
13-school.at.ua	personal site - school №13 im.p.a. lonovova, yuzhno-sakhalinsk!	Персональный сайт - Школа №13 им.П.А.Леонова, г.Южно-Сахалинск!	school
13school.te.ua	тзош №13 named after andrew yurkevich |	ТЗОШ №13 імені Андрія Юркевича  |	school
147apal.ucoz.ua	artemivsk professional agrarian lyceum - main page	Артемівський професійний аграрний ліцей - Головна сторінка	art
154school.kiev.ua	cyber-m - reviews of technology from ilyich	Cyber-M - Обзоры техники от Ильича	school
15schoolhealth.at.ua	site of school-dream №15 m. melitopol - main page	Сайт школи-мрій №15 м.Мелітополя - Головна сторінка	school
1775.dp.ua	cultural and education portal krivoy rog 1775.dp.ua - history, nature, tourism, writers, poets	Культурно-просветительный портал Кривого Рога 1775.dp.ua - история, природа, туризм, писатели, поэты	tour
18school.at.ua	18 skhola m.ternopol - main page	18школа м.Тернополя - Головна сторінка	school
196school.kiev.ua	"|
school № 196 kyiv"	"
 | 
Школа № 196 Киев"	school
19school.if.ua	lyceum №19 ivano-frankivsk - main page	Ліцей №19 Івано-Франківськ - Головна сторінка	lyceum
19schoolz.at.ua	"mou ""secondary school №19 of the city of makeyevka"" - main page"	"МОУ ""Средняя школа №19 города Макеевки"" - Главная страница"	school
1c.ucoz.ua	articles catalog - single easmies	Каталог статей - Одноэсники	art
1cinema.at.ua	free viewing of online films and +18 - homepage	Бесплатный просмотр онлайн фильмов и +18 - Главная страница	cinema
1class.at.ua	information and educational website teacher - ukrainian language - grade 5	Інформаційно-освітній сайт учителя - УКРАЇНСЬКА МОВА - 5 клас	edu
1love.at.ua	download free soviet cartoons	Скачать бесплатно советские мультики	art
1minuta.com.ua	conversation artem book one minute - official site	Беседа Артем  Книга Одна минута - официальный сайт	art
1parts.com.ua	1parts	1Parts	art
1pus1.at.ua	archive video channel 1 + 1 online.watch online video 1 + 1.amazon online video 1 + 1	Архів відео каналу 1+1 онлайн. Дивитися онлайн відео 1+1. Смотреть онлайн видео 1+1	archiv
1school.km.ua	khmelnytsky specialized secondary school of i-iii degrees №1	Хмельницька  спеціалізована  середня загальноосвітня  школа I-III ступенів  №1	school
1shkola.ucoz.ua	"archive materials - oz ""kobelatsky lyceum # 1"""	"Архив материалов - ОЗ ""Кобеляцький ліцей №1"""	lyceum
1ta.com.ua	pick up a hot tour	Підібрати гарячий тур	tour
1zvuk.com.ua	smart house.intelligent home systems at the best price in kyiv	Умный дом. Интеллектуальные системы для дома по лучшей цене в Киеве	art
2007.pp.net.ua	"ukrainian traumatic weapons - ""new wave"" and other musical contests"	"Украинское травматическое оружие - ""Новая волна"" и другие музыкальные конкурсы"	music
20school.org.ua	main page	Головна сторінка	school
210.kiev.ua	specialized school №210 kyiv	Спеціалізована школа №210 м. Київ	school
2101.com.ua	select the gallery ---------------- >>> |pripyat	 ВЫБЕРИТЕ ГАЛЕРЕЮ ---------------->>> | Припять	gallery
21school.com.ua	lyceum of tax and advertising issue №21 - official site	Ліцей податкової та рекламної справи №21 - Офіційний сайт	lyceum
220school.kiev.ua	№220 specialized school - i-iii degrees with in-depth study of foreign languages	№220 спеціалізована школа – І-ІІІ ступенів з поглибленим вивченням іноземних мов	school
22school.if.ua	22 school	 22 School	school
231.kiev.ua	school 231 - official site of school №231 m. kyiv	Школа 231 – Офіційний сайт школи №231 м. Києва	school
238school.ucoz.ua	school no. 238- school 238	Школа № 238- Школа 238	school
24arenda.com.ua	24arenda - daily rent of apartments in kyiv	24arenda - посуточная аренда квартир в Киеве	art
24easysteps.com.ua	gc books - an alternative educational platform to learn english	 GC Books - Альтернативна освітня платформа для вивчення англійської мови	edu
24home.com.ua	apartments for rent dnipro	Квартиры посуточно Днепр	art
24kulum.com.ua	carpets, lushes carpet, artificial grass	Ковровые изделия, Ковер Лущув, Искусственная трава	art
24meridian.com.ua	24meridian - tourist company	24Meridian – Туристична компанія	tour
24school.at.ua	24 school of ternopil - main page	24 школа м. Тернопіль - Головна сторінка	school
25kvartal.kiev.ua	25 quarter - travel agency	25 КВАРТАЛ — ТУРИСТИЧЕСКОЕ АГЕНТСТВО	art
25school.at.ua	25 school of kramatorsk official website 6-in - hello, dear parents!	25 школа г. Краматорска Официальный сайт 6-В - Здравствуйте, уважаемые родители!	school
25shkolanov.at.ua	the site of the teacher's history of the lisichansky secondary school of i-iii degrees №25 - home page	Сайт вчителя історії Лисичанської загальноосвітньої школи І-ІІІ ступенів №25 - Главная страница	histor
27schoollviv.at.ua	secondary school 27 m. lviv - main page	Середня загальноосвітня школа 27 м.Львів - Головна сторінка	school
28051.at.ua	news - aleksandrovska secondary school of i-iii degrees	Новини - Олександрівська загальноосвітня школа І-ІІІ ступенів	school
2aka.com.ua	"company ""two academic"" |for 15 years, constructing construction projects"	Компания «Два Академика» | уже 15 лет воплощаем в жизнь строительные проекты	academic
2ch-school.at.ua	entries archive - the official website of the kirilivska ssch i-iii degrees	Entries archive - Офіційний сайт Кирилівської ЗШ І-ІІІ ступенів	school
2malschool27.at.ua	malobilozersk zos № 2 - home page	Малобілозерська ЗОШ № 2 - Главная страница	school
2news.at.ua	library vorostan - main page	Библиотека Воросяна - Главная страница	librar
2otd.dp.ua	"2 compartment
cp ""dbclc"" dor"	"2 отделение 
КП «ДБКЛПД» ДОР"	art
2school-sarny.at.ua	official site of sarnesk i-iii degrees №2 - home page	Офіційний сайт Сарненської ЗОШ  І-ІІІ ступенів №2 - Главная страница	school
2school.at.ua	sosh i-iii.№2 м. ковель - main page	ЗОШ І-ІІІ с. №2 м. Ковель - Головна сторінка	school
2school.in.ua	kolomyian lyceum # 2 - 2school.in.ua	Коломийський ліцей №2 - 2school.in.ua	lyceum
30.ks.ua	kherson specialized school of i-iii steps no. 30 with in-depth study of the subjects of the natural-mathematical cycle and english of the kherson city council	Херсонская специализированная школа I-III ступеней № 30 с углубленным изучением предметов естественно-математического цикла и английского языка Херсонского городского совета	school
307.in.ua	specialized school of i-iii degrees №307 - with in-depth study of the natural sciences of the desniansky district of kyiv	Спеціалізована школа І-ІІІ ступенів №307 – з поглибленим вивченням природничих наук Деснянського району міста Києва	school
316shkola.kiev.ua	school 316 official site |specialized secondary school i-iii degrees №316	Школа 316 офіційний сайт | Спеціалізована загальноосвітня школа I-III ступенів №316	school
317school.kiev.ua	ink, power in ¹31o7	Øêîëà ¹317	school
33.ks.ua	"kherson educational - educational complex ""preschool educational institution - secondary school iii degrees"" №33 of the kherson city council"	ХЕРСОНСЬКИЙ НАВЧАЛЬНО - ВИХОВНИЙ КОМПЛЕКС «ДОШКІЛЬНИЙ НАВЧАЛЬНО- ВИХОВНИЙ ЗАКЛАД - ЗАГАЛЬНООСВІТНЯ ШКОЛА І - ІІІ СТУПЕНІВ» №33 ХЕРСОНСЬКОЇ МІСЬКОЇ РАДИ	edu
33art.com.ua	art school for children and adults in kyiv - 33art	Художественная школа для детей и взрослых в Киеве - 33ART	art
35school.at.ua	poltava zos i-ii degrees №35 - home page	Полтавська ЗОШ І-ІІ ступенів №35 - Головна сторінка	school
360.dp.ua	panoramic shooting, virtual tours	Панорамная съемка, виртуальные туры	virtual
360tour.com.ua	360 tour |virtual tours	360 tour | Виртуальные туры	virtual
360x180.com.ua	3d tours aerotics photo video - 360x180	3D ТУРИ АЕРОЗЙОМКА ФОТО ВІДЕО — 360x180	tour
3832637.kiev.ua	polygraphy for business - printing services for business in the heart of kiev	Поліграфія для бізнесу – Поліграфічні послуги для бізнесу в самому центрі Києва	art
39-school.at.ua	osh number 39 - main page	ОШ №39 - Главная страница	school
3d-art.at.ua	wooden joinery - krivoy rog	Столярные изделия из дерева - г. Кривой Рог	art
3dparts.com.ua	components for 3d printer	Комплектующие для 3D-принтера	art
3dsmartpro.com.ua	smartprint- direct digital production |new technologies	СМАРТПРИНТ- Прямое цифровое производство | Новые технологии	art
3dtour.if.ua	ð'ñ-ñ ñ,,ƒ ° ° ñœðð-- 3d ñ,ƒƒ € €	ÐÑÑÑÑÐ°Ð»ÑÐ½Ñ 3D ÑÑÑÐ¸	tour
3m2.ua	3m2 online journal about new buildings in kiev and region	3m2 Онлайн-журнал про новобудови Києва та області	journal
3nschool.at.ua	"nizhnegorsky uvk ""school-gymnasium"" №3 - main page"	Нижнегорский УВК «Школа-гимназия» №3 - Главная страница	school
3school.org.ua	ðž¹¹¹¹¹¹¹¹ððð · · ·¹¹¹¹¹¹¹ððð · · · · ·¹¹ ° ð ððððððððððð ð ð ð ð ð ñ ñ ñðð¹,¸¸¸¸ ñ¾ððð-ð ð ð ð ðñññññññññ ° ° † † μ μ μ μ μμ,,ñ€ á½ð μm, ° ð ð ð ð ð · ð¸¸¸¾¾	ÐÐ½Ð»Ð°Ð¹Ð½ ÐºÐ°Ð·Ð¸Ð½Ð¾ - Ð¿Ð¾Ð²Ð½Ð¸Ð¹ ÑÐ¾Ð¿ ÑÐµÐ¹ÑÐ¸Ð½Ð³ Ð²ÑÐ´ ÐµÐºÑÐ¿ÐµÑÑÐ° ÐÐ½ÑÐµÑÐ½ÐµÑ ÐºÐ°Ð·Ð¸Ð½Ð¾	school
3shkola.ucoz.ua	school№3 - perevalskaya oosh i-iii steps number 3	школа№3 - Перевальская ООШ I-III ступеней № 3	school
3v1.com.ua	gurt 3v1 ||music for a wedding	 Гурт 3v1 || Музика на весілля	music
42.ucoz.ua	school digest - home	SCHOOL digest - Главная	school
45minut.ucoz.ua	catalog of articles - pedeady site	Каталог статей - педідея сайт	art
4apple.com.ua	accessories on apple laptop.spare parts for apple.details for apple laptops.	Комплектующие на ноутбук Apple. Запчасти для Apple. Детали для ноутбуков Apple.	art
4aschoolart.at.ua	entries archive - 4th clast	Entries archive - 4-А  Клас	art
4camping.com.ua	4camping.com.ua - camping and tourism equipment	4Camping.com.ua - спорядження для кемпінгу та туризму	tour
4ervonograd.at.ua	chervonograd - night chervonograd |dj |radio |music |chat |clubs |cinema |weather	ЧЕРВОНОГРАД - НІЧНИЙ ЧЕРВОНОГРАД | DJ | RADIO | МУЗИКА | ЧАТ | КЛУБИ | КІНО | ПОГОДА	cinema
4school.at.ua	personal school site - home page	Персональный сайт школы - Главная страница	school
4sg.com.ua	agriculture of ukraine, map of crops, sowing areas, agrowder online, agromap.com.ua	Агрокарта України, карта посівів, посівні площі, агросправочник online, agromap.com.ua	culture
4ton.com.ua	4ton - urgent refueling cartridges	4TON - Термінова заправка картриджів	art
4tourist.com.ua	home |for tourist travel	Главная | For Tourist Travel	tour
4watch.com.ua	4watch accessories for smart watches and fitness trackers.	4Watch Аксессуары для смарт-часов и фитнес трекеров.	art
4x4school.com.ua	4 × 4 school - conquer off-road	4×4 school — Покори бездорожье	school
5022.at.ua	polyurethane forms for artificial stone - home page	Полиуретановые формы для искусственного камня - Главная страница	art
505.ucoz.ua	rilan - apartments for rent in ukraine without intermediaries.	Rilan - Квартиры посуточно в Украине без посредников.	art
53school.at.ua	school №53 nikolaev - main page	Школа №53 г.Николаев - Главная страница	school
53school.kiev.ua	home	Головна	school
5aschool2ug.at.ua	site 11-a class 2016 release - main page	Сайт 11-А класса 2016 года выпуска - Главная страница	school
5ks.pp.ua	kremenets school №5	"
Кременець Школа №5
"	school
5nizza.kharkov.ua	weekly friday |news, main events in the country and world through the eyes of kharkov journalists	еженедельник Пятница | Новости, основные события в стране и мире глазами харьковских журналистов	journal
5school.pp.ua	school №5 of pereyaslav city	Школа №5 міста Переяслава	school
5school.ucoz.ua	chartsyzskaya secondary school №5 - main page	Харцызская общеобразовательная школа №5 - Главная страница	art
6d-brows.com.ua	pigments of permablend softap, cartridges, materials for pm.ukraine, cis	Пигменты Permablend Softap, картриджи, Материалы для ПМ. Украина, СНГ	art
7-zip.org.ua	7-zip - a powerful archiver that supports many archive formats	7-Zip - потужний архіватор, що підтримує безліч форматів архівів	archiv
7007.com.ua	apartments for rent, hourly, for a day, for a month kharkov alekseevskaya, botanical garden, august 23 from 400 uah / day	Квартиры посуточно, почасово, на сутки, на месяц Харьков Алексеевская , Ботанический Сад , 23 Августа от 400 грн/ сутки	art
707.in.ua	"tourist agency ""tours & travel"" in boryspil"	Туристична агенція «Tours&Travel» м. Бориспіль	tour
70school.at.ua	school №70 - home page	Школа №70 - Головна сторінка	school
777.kyiv.ua	kyiv 777 - interesting news, articles, posts city kyiv.the most demanded urban information.	Киев 777 - Интересные новости, статьи, посты город Киев. Самая востребованная городская информация.	art
7a-klass.at.ua	9a - school №29 - cheboksary - homepage	9а - СОШ №29 - г. Чебоксары - Главная страница	school
7arts.com.ua	7ants - products, products and gifts made of wood with engraving and inscriptions	7Arts - товары, изделия и подарки из дерева с гравировкой и надписями	art
7boks.com.ua	"car service ""7 boxing"" reservation order, reservation parts"	Автосервис «7 БОКС» Заказ ремонта, Заказ запчастей	art
7chudes.kh.ua	art school 7 wonders - drawing courses in kharkov	Художественная школа 7 Чудес - курсы рисования в Харькове	art
7nebo.rv.ua	"tourist company ""sevent sky"" m.rine"	"Туристична компанія ""Сьоме небо"" м.Рівне"	tour
7parts.com.ua	spare parts for special equipment and agricultural machinery 7parts	Запчасти для спецтехники и сельхозтехники 7parts	art
7second.at.ua	music for pregnant women - listen online and free download	Музыка для беременных - слушать онлайн и скачать бесплатно	music
7sezonov.com.ua	7sezons |goods for hunting, fishing and tourism	7Сезонов | Товары для охоты, рыбалки и туризма	tour
7strun.com.ua	7strun.com.ua |musical instrument	7strun.com.ua | Музыкальный инструмент	music
7up.at.ua	music, movies, wallpapers, and much interesting on 7up.at.ua!- main page	Музыка,Фильмы,Обои,и многое интересное на 7up.at.ua! - Главная страница	music
81school.at.ua	school school №81 s.porizhia - main page	Сайт школы №81 г.Запорожье - Главная страница	school
868.net.ua	smartmeter - login	SmartMeter - Вход	art
88marta.ua	march 88	88 Марта	art
8a-lyceum.at.ua	site 8th class - home page	Сайт 8-А класу - Головна сторінка	lyceum
8a.in.ua	8a - smart tv consoles for tv for android.best prices on tv box	8A - Смарт тв приставки для телевизора на андроид. Лучшие цены на TV Box	art
8klasgeo.at.ua	geography of ukraine - main page	Географія України - Головна сторінка	geograph
8marta.com.ua	8marta.com.ua - parking page	8marta.com.ua - Парковочная страница	art
8marta.dn.ua	choose equipment for beauty salons, food, refrigeration equipment	выбрать оборудование для салонов красоты, пищевое, холодильное оборудование	art
8muzshcl.at.ua	lviv state music school №8 - main page	ЛЬВІВСЬКА ДЕРЖАВНА МУЗИЧНА ШКОЛА №8 - Головна сторінка	music
8zt.at.ua	home - school site №8 in zhytomyr	Головна сторінка - Сайт школи №8 м. Житомира	school
911.lviv.ua	search ads - varta1	Пошук оголошень - VARTA1	art
911group.kiev.ua	≡ 911group ᐈ spare parts for mobile phones	≡ 911group ᐈ Запчасти для мобильных телефонов	art
93100sch8.co.ua	lisichansk lyceum № 8 severodonetsk district of lugansk region	Лисичанський ліцей № 8 Сєвєродонецького району Луганської області	lyceum
95makschool.ucoz.ua	"mou ""high school no. 95"" of makeyevka dnr - main page"	"МОУ ""Средняя школа № 95"" города Макеевки ДНР - Главная страница"	school
9school.dp.ua	school №9 - school of children's dreams.m. pavlograd	Школа  №9 - школа дитячих мрій. м. Павлоград	school
9school.org.ua	school №9. konstantinovka |school number 9 konstantinovka	Школа №9 г. Константиновка | Школа №9 г. Константиновка	school
9school.ucoz.ua	novovolynska special school - main page	Нововолинська спеціальна школа - Головна сторінка	school
a-b-c.pl.ua	abc school - abc language school poltava	ABC School - ABC Language School Полтава	school
a-bc.com.ua	ᐉ delivery of products white church (096) 785-67-57	ᐉ Доставка продуктів Біла Церква (096) 785-67-57	church
a-de.in.ua	a-where knows more |the most interesting news and publications from the world a-de.in.ua	А-ДЕ знає більше | Найцікавіші новини та публікації з світу a-de.in.ua 	publication
a-h.in.ua	"llc ""academy of health of the xxi century"", frfltvbz pljhjdmz 21 dtr, health academy of 21 vec"	"ТОВ ""АКАДЕМІЯ ЗДОРОВ’Я ХХІ СТОЛІТТЯ"", frfltvbz pljhjdmz 21 dtr, Академия здоровья 21 век"	academy
a-priori.kiev.ua	selection of education programs abroad - a-priori education abroad	Подбор программы образования за рубежом - A-priori образование за рубежом	edu
a-school.com.ua	¨¨ððð ð ° ° ðñññ ºðð¸¸ ¸ ñ ñ ñ¸¸¸ð |	Ð¨ÐºÐ¾Ð»Ð° Ð¤Ð»Ð¾ÑÐ¸ÑÑÐ¸ÐºÐ¸ ÐÑÑÐ¸ÑÐ¾Ðº	school
a0.dp.ua	a0 print center - operational polygraphy - our specialization	A0 Print Center – Оперативна поліграфія – наша спеціалізація	opera
a12.com.ua	lcd a12 in brovary.apartments in a new building from the developer.	ЖК А12 в Броварах. Квартиры в новостройке от застройщика.	art
a2.kiev.ua	new buildings without commission - apartments for sale in new buildings in kyiv, real estate agency a2	Новостройки без комиссии – Продажа квартир в новостройках Киева, агентство недвижимости А2	art
aaa.ua	aesthetic medicine academy 360 - academy of advanced aesthetics	Академия эстетической медицины 360 - Academy of Advanced Aesthetics	academy
aam.kiev.ua	hyundai auto parts, kia - asia auto market	Автозапчасти Hyundai, Kia - Азиа авто маркет	art
aapartments.com.ua	ð ¥ ¥¥ ¸¸¸¸¸ð ñ ° °¹¹ððððð¸¸ ñ ñ ñ ñμ¸¸¸¸¸¸ññ ° ° † †¸¸ ð ð ð ð ð ð ð ð ð ð ððð½ð½ð ñ ñ ð ðð¸ukr.host	Ð¥Ð¾ÑÑÐ¸Ð½Ð³ ÑÐ°Ð¹ÑÐ¾Ð² Ð¸ ÑÐµÐ³Ð¸ÑÑÑÐ°ÑÐ¸Ñ Ð´Ð¾Ð¼ÐµÐ½Ð¾Ð² | Ukr.Host	art
aasz.com.ua	auto agro special spare parts	АВТО АГРО СПЕЦ ЗАПЧАСТИНИ	art
abalakovets.sumy.ua	"club of tourist climbers ""abalakovts"" sumy palace of children and youth |... we - abolakovtsy from now on, and obolovtsy always!"	"Клуб туристов-альпинистов ""Абалаковец"" Сумского Дворца детей и юношества | ...мы - аболаковцы отныне, и оболаковцы всегда!"	tour
abbasiyainst-en.at.ua	abbasiya institute abbasid institute - home page	Abbasiya Institute معهد العباسية - Home page	institut
abbasiyainstu.at.ua	abbasid institute	معهد العباسية	institut
abc-lab.ucoz.ua	"laboratory of elementary education - educational west ""pedagogical gestivna"""	Лабораторія початкової освіти - Освітянський захід «Педагогічні гостини»	edu
abc-lviv.com.ua	translation bureau lviv ➔ language school in lviv abc center	Бюро перекладів Львів ➔ мовна школа у Львові ABC Center	school
abc-school.net.ua	abc office boards for school from producer	 АВС office дошки для школи від виробника	school
abcoffice.com.ua	abc office - sale of office boards and educational institutions at very low prices in kyiv	ABC Office — продажа досок для офиса и учебных заведений по очень низким ценам в Киеве	edu
abetka.com.ua	cherkasy abteka, private kindergarten cherkasy, sadik cherkasy, sadik montessori in cherkasy, children's nursery cherkasy.ratty cherkasy sadok.abetka cherkasy	АБЕТКА Черкассы, Частный детский сад черкассы, садик черкассы, садик монтессори в Черкассах, детские ясли черкассы. Дитячий садок черкаси. ABETKA Черкассы	art
abgroupllc.com.ua	the main direction of ltd. hey bu groups is equipped with operational and intensive care departments	Основним напрямком діяльності ТОВ Ей Бі Груп є оснащення операційних та відділень інтенсивної терапії	art
abiratur.in.ua	"travel agency ""aiber tour"" kyiv"	Турагентство «Абира Тур» г. Киев	tour
abkoziy.at.ua	collarbets: musical art - main page	СПІВАНОЧКИ КАРАОЧКИ: МУЗИЧНЕ МИСТЕЦТВО - Головна сторінка	art
abmiroshnychenko.com.ua	miroshnychenko & partners law firm in chernihiv	Адвокатське бюро Miroshnychenko & Partners в Чернігові	art
abramenko15.ucoz.ua	we are preparing for natural science lessons - main page	Готуємось до уроків природознавства - Головна сторінка	science
abris.crimea.ua	education	Образование 	edu
abs.in.ua	auto parts, all parts for passenger cars abs yua ukraine	Автозапчасти, Все запчасти для легковых авто АБС Ин Юа Украина	art
abstar.com.ua	actor school, cinema school on film studio, theater studio for children and adults	Акторська школа, кіношкола на кіностудії, театральна студія для дітей та дорослих	cinema
abu.in.ua	academy of construction of ukraine abu - innovation and innovation in the construction industry of ukraine	Академія будівництва України АБУ – Новації та інновації в будівельній галузі України	academy
aburmu4.at.ua	olochinsky library - main page	Библиотека Опочинского - Главная страница	librar
abzats.com.ua	paragraph - useful tips for each - all articles	АБЗАЦ — полезные советы на каждый — все статьи	art
ac-dc.com.ua	system smart home, design, installation and installation for apartment and house	Система умный дом, проектирование, установка и монтаж для квартиры и дома	art
ac.in.ua	advance consulting |professional partner of your business	Advance Consulting | Професійний партнер вашого бізнесу	art
academia-spa.com.ua	aqua vita / academy spa	Аква-Вита / Академия СПА	academy
academia-zhisni.kiev.ua	"academy of life alh ""happiness"""	 Академия жизни ALH «Счастье» 	academy
academic.com.ua	academic.com.ua - parking page	academic.com.ua - Парковочная страница	academic
academicstom.com.ua	dental clinic academic dentistry	Стоматологічна клініка Академічна стоматологія	academic
academiq.org.ua	academiq is an academic integrity and education quality initiative	AcademIQ - Ініціатива академічної доброчесності та якості освіти	edu
academkleo.com.ua	"academy of hairdressers and visage ""cleopatra"""	"Академия парикмахерского искусства и визажа ""Клеопатра"""	academy
academlyceum.zp.ua	zaporozhye academic lyceum |just another site on wordpress	Запорізький академічний ліцей | Просто ще один сайт на WordPress	academic
academy-a.com.ua	"sports and circus studio ""academy of artists and acrobats"""	Спортивно-цирковая студия «Академия артистов и акробатов»	art
academy-dance.com.ua	"dance ensemble ""odessa"""	"Ансамбль танца ""ОДЕССА"""	academy
academy-home.com.ua	academy of home personnel success	Академия Домашнего Персонала Успех	academy
academy-online.com.ua	academy of association of doctors of the carpathian region / academy of association of doctors of the carpathian region	Академія Асоціації Лікарів Карпатського Регіону / Академія Асоціації Лікарів Карпатського Регіону	academy
academy-star.com.ua	academy star	Academy star	academy
academy-zatoka-bookit.com.ua	"recreation center ""academy"" studdle - book a room online"	"База отдыха ""Академия"" Затока - Забронировать номер онлайн"	academy
academy.kiev.ua	training and career in ukraine.leader school.	Обучение и карьера в Украине. Школа лидера. 	school
academy.org.ua	online academy yuri miroshnichenko	Онлайн Академия Юрия Мирошниченко	academy
academyhm.com.ua	academy of talent hakunamatata.	Академия талантов Hakunamatata	academy
academymedicover.com.ua	medicare academy	Медікавер Академія	academy
academyofficial.com.ua	academy of modern education a +	Академія сучасної освіти А+ 	edu
academyplus.com.ua	domain is directed to the server nic.ua	Домен направлен на сервера NIC.UA	academy
academysps.edu.ua	academy of state penitentiary service of ukraineinstitution of higher education	АКАДЕМІЯ ДЕРЖАВНОЇ ПЕНІТЕНЦІАРНОЇ СЛУЖБИ УКРАЇНИ | заклад вищої освіти	edu
academyyl.at.ua	academy of young life - ukraine - homepage	Academy of Young Life - Ukraine - Главная страница	academy
acant.com.ua	akant art forging, kyiv, ukraine.metal art forging from forge akant	АКАНТ Художественная ковка, Киев, Украина. Художественная ковка металла от кузни Акант	art
ace-school.com.ua	main - active creative erudite	Main - Active Creative Erudite	school
ace.org.ua	home - academy of modern education - advanced training	ГОЛОВНА - Академія сучасних освітян - Підвищення кваліфікації	edu
achilles-parts.com.ua	achilles parts - original used spare parts for your car	Achilles Parts - оригинальные б/у запчасти для вашего автомобиля	art
acmc.com.ua	anti-crisis media center: up-to-date articles, high-quality analyst, online chronicle, significent news of eastern ukraine	Антикризовий медіа-центр: актуальні статті, якісна аналітика, онлайн-хроніка, значущі новини Східної України	art
acompany.com.ua	warehouse accounting, selection and sales of auto parts - avtokompanyon	Программа учета склада, подбора и продажы автозапчастей - АвтоКомпаньон	art
acrobatica.kiev.ua	sportacrobatica - school of sports acrobatics	SportAcrobatica — Школа Спортивной Акробатики	school
acti.dn.ua	artemivsk college of transport infrastructure	Артемівський Коледж Транспортної Інфраструктури	art
action-tour.in.ua	deat ° ¹¹ñññ, action-tour.in.ua æ½ðμ ð ° ñ ñ ñ € € μ² μ ñ μ μ	Ð¡Ð°Ð¹Ñ action-tour.in.ua Ð½Ðµ Ð½Ð°ÑÑÑÐ¾ÐµÐ½ Ð½Ð° ÑÐµÑÐ²ÐµÑÐµ	tour
active-print.kiev.ua	operational printing services from printing houses in kyiv	Оперативні поліграфічні послуги від друкарні в Києві	opera
activelifekyury.com.ua	tourism and healthy lifestyle - tourism, travel - this is a way of a healthy lifestyle.	Туризм и здоровый образ жизни — Туризм, путешествия – это способ здорового образа жизни	tour
activeschoolshackathon.pp.ua	hacket of active schoolsonline social initiatives for the school participating schools “school as a center of social cohesion and stability in the community”	Хакатон Активних Шкіл | Онлайн-хакатон соціальних ініціатив для шкіл-учасниць проєкту “Школа як осередок соціальної згуртованості та стійкості в громаді”	art
activitycenter.org.ua	educational and analytical center for communities development (csh)	Освітньо-аналітичний центр розвитку громад (ЦРГ)	edu
activtour.com.ua	asset tour andymavka |activities, hobbies, hobbies	Актив Тур AndyMavka | Активный отдых, хобби, увлечения	tour
actorslab.com.ua	ukraine.kiev.actorslab.english school of acting kyiv	Ukraine.Kiev.ActorsLab.English Школа актерского мастерства Киев	school
acup.poltava.ua	"vsp ""professional college of management, economics and law"	"ВСП ""ФАХОВИЙ КОЛЕДЖ УПРАВЛІННЯ, ЕКОНОМІКИ І ПРАВА"	college
acwalks.com.ua	anticorruption tours in kyiv -	Антикорупційні тури в Києві -	tour
adamex.in.ua	ab-group - tutis, moon, miobaby official partner in ukraine	AB-group — официальный партнер Tutis, MOON, miobaby в Украине	art
